date,price
2015/2/9,2.2393
2015/2/10,2.2758
2015/2/11,2.2863
2015/2/12,2.2902
2015/2/13,2.2959
2015/2/16,2.2998
2015/2/17,2.3161
2015/2/25,2.2767
2015/2/26,2.3536
2015/2/27,2.342
2015/3/2,2.3449
2015/3/3,2.271
2015/3/4,2.269
2015/3/5,2.2421
2015/3/6,2.2469
2015/3/9,2.3027
2015/3/10,2.2662
2015/3/11,2.2806
2015/3/12,2.3517
2015/3/13,2.3584
2015/3/16,2.4112
2015/3/17,2.4429
2015/3/18,2.5082
2015/3/19,2.4852
2015/3/20,2.5313
2015/3/23,2.5707
2015/3/24,2.5342
2015/3/25,2.5015
2015/3/26,2.539
2015/3/27,2.5447
2015/3/30,2.6322
2015/3/31,2.6005
2015/4/1,2.6446
2015/4/2,2.6312
2015/4/3,2.6639
2015/4/7,2.7301
2015/4/8,2.7839
2015/4/9,2.7638
2015/4/10,2.8204
2015/4/13,2.8733
2015/4/14,2.881
2015/4/15,2.8925
2015/4/16,3.0212
2015/4/17,3.0596
2015/4/20,2.9809
2015/4/21,3.0174
2015/4/22,3.1134
2015/4/23,3.0856
2015/4/24,3.0462
2015/4/27,3.1269
2015/4/28,3.101
2015/4/29,3.0933
2015/4/30,3.0721
2015/5/4,3.0846
2015/5/5,2.9741
2015/5/6,2.9617
2015/5/7,2.9252
2015/5/8,2.9348
2015/5/11,2.9876
2015/5/12,3.0058
2015/5/13,2.9626
2015/5/14,2.9521
2015/5/15,2.8877
2015/5/18,2.83
2015/5/19,2.9453
2015/5/20,2.9453
2015/5/21,2.9818
2015/5/22,3.0731
2015/5/25,3.173
2015/5/26,3.1893
2015/5/27,3.1557
2015/5/28,2.9578
2015/5/29,2.9453
2015/6/1,3.0721
2015/6/2,3.0827
2015/6/3,3.0654
2015/6/4,3.1307
2015/6/5,3.1259
2015/6/8,3.2921
2015/6/9,3.2287
2015/6/10,3.1893
2015/6/11,3.1701
2015/6/12,3.1826
2015/6/15,3.0894
2015/6/16,3.0241
2015/6/17,3.05
2015/6/18,2.9223
2015/6/19,2.7609
2015/6/23,2.8589
2015/6/24,2.8992
2015/6/25,2.8041
2015/6/26,2.5803
2015/6/29,2.5553
2015/6/30,2.7388
2015/7/1,2.6206
2015/7/2,2.5784
2015/7/3,2.4775
2015/7/6,2.6341
2015/7/7,2.6802
2015/7/8,2.5015
2015/7/9,2.6821
2015/7/10,2.7907
2015/7/13,2.7494
2015/7/14,2.6533
2015/7/15,2.6408
2015/7/16,2.6322
2015/7/17,2.6927
2015/7/20,2.6677
2015/7/21,2.6591
2015/7/22,2.6293
2015/7/23,2.684
2015/7/24,2.637
2015/7/27,2.3958
2015/7/28,2.3862
2015/7/29,2.4343
2015/7/30,2.3718
2015/7/31,2.3651
2015/8/3,2.3805
2015/8/4,2.44
2015/8/5,2.393
2015/8/6,2.3737
2015/8/7,2.4054
2015/8/10,2.513
2015/8/11,2.4881
2015/8/12,2.4631
2015/8/13,2.4746
2015/8/14,2.4737
2015/8/17,2.4477
2015/8/18,2.3151
2015/8/19,2.3315
2015/8/20,2.2681
2015/8/21,2.1845
2015/8/24,1.9664
2015/8/25,1.8118
2015/8/26,1.8694
2015/8/27,2.027
2015/8/28,2.0827
2015/8/31,2.1221
2015/9/1,2.1403
2015/9/2,2.148
2015/9/7,2.0558
2015/9/8,2.0913
2015/9/9,2.1221
2015/9/10,2.1192
2015/9/11,2.1067
2015/9/14,2.1355
2015/9/15,2.0817
2015/9/16,2.1538
2015/9/17,2.1115
2015/9/18,2.1115
2015/9/21,2.1249
2015/9/22,2.149
2015/9/23,2.0942
2015/9/24,2.1009
2015/9/25,2.0856
2015/9/28,2.0884
2015/9/29,2.0433
2015/9/30,2.0625
2015/10/8,2.1096
2015/10/9,2.1336
2015/10/12,2.1979
2015/10/13,2.1893
2015/10/14,2.1691
2015/10/15,2.2133
2015/10/16,2.2306
2015/10/19,2.2287
2015/10/20,2.2489
2015/10/21,2.2287
2015/10/22,2.2412
2015/10/23,2.2575
2015/10/26,2.2575
2015/10/27,2.2556
2015/10/28,2.2172
2015/10/29,2.22
2015/10/30,2.2191
2015/11/2,2.1931
2015/11/3,2.1826
2015/11/4,2.2921
2015/11/5,2.3488
2015/11/6,2.4006
2015/11/9,2.4323
2015/11/10,2.4218
2015/11/11,2.4054
2015/11/12,2.3728
2015/11/13,2.3478
2015/11/16,2.3526
2015/11/17,2.3536
2015/11/18,2.342
2015/11/19,2.3737
2015/11/20,2.3622
2015/11/23,2.3536
2015/11/24,2.3478
2015/11/25,2.3574
2015/11/26,2.3507
2015/11/27,2.2268
2015/11/30,2.2373
2015/12/1,2.2469
2015/12/2,2.3651
2015/12/3,2.3632
2015/12/4,2.3036
2015/12/7,2.2959
2015/12/8,2.2729
2015/12/9,2.2758
2015/12/10,2.2623
2015/12/11,2.2517
2015/12/14,2.3199
2015/12/15,2.2882
2015/12/16,2.2786
2015/12/17,2.3065
2015/12/18,2.3267
2015/12/21,2.4006
2015/12/22,2.392
2015/12/23,2.4006
2015/12/24,2.3805
2015/12/25,2.3882
2015/12/28,2.3171
2015/12/29,2.3363
2015/12/30,2.3286
2015/12/31,2.3209
2016/1/4,2.1883
2016/1/5,2.196
2016/1/6,2.2258
2016/1/7,2.0913
2016/1/8,2.1317
2016/1/11,2.0414
2016/1/12,2.0471
2016/1/13,2.0289
2016/1/14,2.0471
2016/1/15,1.9885
2016/1/18,1.9885
2016/1/19,2.0462
2016/1/20,2.0087
2016/1/21,1.9626
2016/1/22,1.9856
2016/1/25,1.9837
2016/1/26,1.8809
2016/1/27,1.88
2016/1/28,1.8396
2016/1/29,1.8973
2016/2/1,1.8656
2016/2/2,1.8973
2016/2/3,1.8761
2016/2/4,1.9001
2016/2/5,1.8905
2016/2/15,1.8723
2016/2/16,1.9222
2016/2/17,1.9338
2016/2/18,1.9318
2016/2/19,1.927
2016/2/22,1.9732
2016/2/23,1.9501
2016/2/24,1.9587
2016/2/25,1.8598
2016/2/26,1.879
2016/2/29,1.8608
2016/3/1,1.8934
2016/3/2,1.9684
2016/3/3,1.9722
2016/3/4,2.0385
2016/3/7,2.0279
2016/3/8,2.0318
2016/3/9,2.0241
2016/3/10,1.978
2016/3/11,1.9847
2016/3/14,1.9943
2016/3/15,2.0154
2016/3/16,2.051
2016/3/17,2.0481
2016/3/18,2.0558
2016/3/21,2.1057
2016/3/22,2.0836
2016/3/23,2.0856
2016/3/24,2.0558
2016/3/25,2.0606
2016/3/28,2.0375
2016/3/29,2.0212
2016/3/30,2.0731
2016/3/31,2.0711
2016/4/1,2.0798
2016/4/5,2.0894
2016/4/6,2.0798
2016/4/7,2.0548
2016/4/8,2.0404
2016/4/11,2.0596
2016/4/12,2.0577
2016/4/13,2.0827
2016/4/14,2.0884
2016/4/15,2.0923
2016/4/18,2.0692
2016/4/19,2.0759
2016/4/20,2.0635
2016/4/21,2.0615
2016/4/22,2.0711
2016/4/25,2.0606
2016/4/26,2.0673
2016/4/27,2.0596
2016/4/28,2.0577
2016/4/29,2.051
2016/5/3,2.074
2016/5/4,2.0683
2016/5/5,2.0663
2016/5/6,2.0202
2016/5/9,1.9895
2016/5/10,1.9885
2016/5/11,1.9953
2016/5/12,2.001
2016/5/13,1.9972
2016/5/16,1.9991
2016/5/17,1.9953
2016/5/18,1.9962
2016/5/19,1.9904
2016/5/20,2.001
2016/5/23,2.002
2016/5/24,1.9876
2016/5/25,1.9924
2016/5/26,1.9924
2016/5/27,1.9962
2016/5/30,2.0068
2016/5/31,2.075
2016/6/1,2.0577
2016/6/2,2.0558
2016/6/3,2.0692
2016/6/6,2.0567
2016/6/7,2.0587
2016/6/8,2.0548
2016/6/13,2.0058
2016/6/14,2.0183
2016/6/15,2.026
2016/6/16,2.0193
2016/6/17,2.026
2016/6/20,2.0308
2016/6/21,2.0289
2016/6/22,2.0404
2016/6/23,2.0327
2016/6/24,2.0077
2016/6/27,2.0279
2016/6/28,2.0337
2016/6/29,2.051
2016/6/30,2.0519
2016/7/1,2.0577
2016/7/4,2.0913
2016/7/5,2.099
2016/7/6,2.098
2016/7/7,2.1028
2016/7/8,2.0913
2016/7/11,2.1019
2016/7/12,2.1451
2016/7/13,2.148
2016/7/14,2.1451
2016/7/15,2.148
2016/7/18,2.1403
2016/7/19,2.1288
2016/7/20,2.1221
2016/7/21,2.1326
2016/7/22,2.1134
2016/7/25,2.1144
2016/7/26,2.1393
2016/7/27,2.1278
2016/7/28,2.124
2016/7/29,2.1144
2016/8/1,2.1038
2016/8/2,2.1038
2016/8/3,2.1019
2016/8/4,2.1
2016/8/5,2.1086
2016/8/8,2.1173
2016/8/9,2.1336
2016/8/10,2.1288
2016/8/11,2.1355
2016/8/12,2.1826
2016/8/15,2.2441
2016/8/16,2.2152
2016/8/17,2.2095
2016/8/18,2.1999
2016/8/19,2.2104
2016/8/22,2.197
2016/8/23,2.1999
2016/8/24,2.1903
2016/8/25,2.1797
2016/8/26,2.1778
2016/8/29,2.1759
2016/8/30,2.1864
2016/8/31,2.1941
2016/9/1,2.1787
2016/9/2,2.1893
2016/9/5,2.1903
2016/9/6,2.196
2016/9/7,2.1999
2016/9/8,2.1999
2016/9/9,2.1903
2016/9/12,2.1614
2016/9/13,2.1538
2016/9/14,2.1413
2016/9/19,2.1538
2016/9/20,2.1509
2016/9/21,2.1547
2016/9/22,2.1662
2016/9/23,2.1605
2016/9/26,2.1345
2016/9/27,2.1413
2016/9/28,2.1317
2016/9/29,2.1422
